000004,0.779,Susah,Tunisia,36.17N,9.94E
1946-07-01,27.408,0.363,Susah,Tunisia,36.17N,9.94E
1946-08-01,29.066999999999997,0.47700000000000004,Susah,Tunisia,36.17N,9.94E
1946-09-01,26.366999999999997,0.379,Susah,Tunisia,36.17N,9.94E
1946-10-01,21.583000000000002,0.612,Susah,Tunisia,36.17N,9.94E
1946-11-01,16.61,0.314,Susah,Tunisia,36.17N,9.94E
1946-12-01,9.937000000000001,0.31,Susah,Tunisia,36.17N,9.94E
1947-01-01,10.193,0.359,Susah,Tunisia,36.17N,9.94E
1947-02-01,13.451,0.7829999999999999,Susah,Tunisia,36.17N,9.94E
1947-03-01,17.017,0.897,Susah,Tunisia,36.17N,9.94E
1947-04-01,16.101,0.281,Susah,Tunisia,36.17N,9.94E
1947-05-01,20.664,0.28800000000000003,Susah,Tunisia,36.17N,9.94E
1947-06-01,26.103,0.428,Susah,Tunisia,36.17N,9.94E
1947-07-01,28.906,0.273,Susah,Tunisia,36.17N,9.94E
1947-08-01,29.207,0.366,Susah,Tunisia,36.17N,9.94E
1947-09-01,25.985,0.308,Susah,Tunisia,36.17N,9.94E
1947-10-01,20.759,0.46,Susah,Tunisia,36.17N,9.94E
1947-11-01,16.197,0.672,Susah,Tunisia,36.17N,9.94E
1947-12-01,10.625,0.45,Susah,Tunisia,36.17N,9.94E
1948-01-01,11.470999999999998,0.491,Susah,Tunisia,36.17N,9.94E
1948-02-01,12.951,0.5589999999999999,Susah,Tunisia,36.17N,9.94E
1948-03-01,13.194,0.341,Susah,Tunisia,36.17N,9.94E
1948-04-01,16.601,0.198,Susah,Tunisia,36.17N,9.94E
1948-05-01,21.203000000000003,0.40700000000000003,Susah,Tunisia,36.17N,9.94E
1948-06-01,23.965999999999998,0.594,Susah,Tunisia,36.17N,9.94E
1948-07-01,25.998,0.6409999999999999,Susah,Tunisia,36.17N,9.94E
1948-08-01,27.519000000000002,0.413,Susah,Tunisia,36.17N,9.94E
