03,0.321,Brunswick,Germany,52.24N,10.51E
1953-07-01,17.934,0.19899999999999998,Brunswick,Germany,52.24N,10.51E
1953-08-01,16.989,0.193,Brunswick,Germany,52.24N,10.51E
1953-09-01,13.780999999999999,0.159,Brunswick,Germany,52.24N,10.51E
1953-10-01,11.064,0.278,Brunswick,Germany,52.24N,10.51E
1953-11-01,6.104,0.34,Brunswick,Germany,52.24N,10.51E
1953-12-01,3.517,0.337,Brunswick,Germany,52.24N,10.51E
1954-01-01,-2.636,0.402,Brunswick,Germany,52.24N,10.51E
1954-02-01,-3.8649999999999993,0.41,Brunswick,Germany,52.24N,10.51E
1954-03-01,4.3870000000000005,0.201,Brunswick,Germany,52.24N,10.51E
1954-04-01,5.782,0.201,Brunswick,Germany,52.24N,10.51E
1954-05-01,12.818,0.273,Brunswick,Germany,52.24N,10.51E
1954-06-01,16.305,0.298,Brunswick,Germany,52.24N,10.51E
1954-07-01,14.668,0.15,Brunswick,Germany,52.24N,10.51E
1954-08-01,16.398,0.141,Brunswick,Germany,52.24N,10.51E
1954-09-01,14.062999999999999,0.21899999999999997,Brunswick,Germany,52.24N,10.51E
1954-10-01,10.628,0.252,Brunswick,Germany,52.24N,10.51E
1954-11-01,4.705,0.212,Brunswick,Germany,52.24N,10.51E
1954-12-01,3.969,0.131,Brunswick,Germany,52.24N,10.51E
1955-01-01,-1.31,0.431,Brunswick,Germany,52.24N,10.51E
1955-02-01,-2.0460000000000003,0.22899999999999998,Brunswick,Germany,52.24N,10.51E
1955-03-01,0.1589999999999998,0.198,Brunswick,Germany,52.24N,10.51E
1955-04-01,6.925,0.158,Brunswick,Germany,52.24N,10.51E
1955-05-01,10.265999999999998,0.32,Brunswick,Germany,52.24N,10.51E
1955-06-01,14.564,0.172,Brunswick,Germany,52.24N,10.51E
1955-07-01,17.921,0.217,Brunswick,Germany,52.24N,10.51E
1955-08-01,17.662,0.327,Brunswick,Germany,52.24N,10.51E
1955-09-01,14.164000000000001,0.172,Brunswick,Germany,52.24N,10.51E
1955-10-01,8.732000000000001,0.223,Brunswick,Germany,52.24N,10.51E
1955-11-01,4.886,0.385,Brunswick,Germany,52.24N,10.51E
1955-12-01,2.972,0.19,Brunswick,Germany,52.24N,10.51E
1956-01-01,0.556,0.203,Brunswick,Germany,52.24N,10.51E
1956-02-01,-9.273,0.568,Brunswick,Germany,52.24N,10.51E
1956-03-01,3.188,0.17300000000000001,Brunswick,Germany,52.24N,10.51E
1956-04-01,4.914,0.263,Brunswick,Germany,52.24N,10.51E
1956-05-01,12.744000000000002,0.23399999999999999,Brunswick,Germany,52.24N,10.51E
1956-06-01,13.625,0.183,Brunswick,Germany,52.24N,10.51E
1956-07-01,17.369,0.168,Brunswick,Germany,52.24N,10.51E
1956-08-01,14.412,0.298,Brunswick,Germany,52.24N,10.51E
1956-09-01,14.004000000000001,0.187,Brunswick,Germany,52.24N,10.51E
1956-10-01,8.932,0.25,Brunswick,Germany,52.24N,10.51E
1956-11-01,3.2030000000000003,0.252,Brunswick,Germany,52.24N,10.51E
1956-12-01,2.984,0.293,Brunswick,Germany,52.24N,10.51E
1957-01-01,1.483,0.354,Brunswick,Germany,52.24N,10.51E
1957-02-01,4.332,0.251,Brunswick,Germany,52.24N,10.51E
1957-03-01,6.506,0.23800000000000002,Brunswick,Germany,52.24N,10.51E
1957-04-01,7.452000000000001,0.321,Brunswick,Germany,52.24N,10.51E
1957-05-01,9.953,0.222,Brunswick,Germany,52.24N,10.51E
1957-06-01,16.865000000000002,0.397,Brunswick,Germany,52.24N,10.51E
1957-07-01,18.199,0.44299999999999995,Brunswick,Germany,52.24N,10.51E
1957-08-01,15.661,0.6609999999999999,Brunswick,Germany,52.24N,10.51E
