9999999999998,0.318,Ulyanovsk,Russia,53.84N,47.73E
1878-07-01,31.607000000000006,1.7169999999999999,Umm Durman,Sudan,15.27N,32.50E
1878-08-01,30.946,1.6540000000000001,Umm Durman,Sudan,15.27N,32.50E
1878-09-01,31.425,1.565,Umm Durman,Sudan,15.27N,32.50E
1878-10-01,30.625,1.3230000000000002,Umm Durman,Sudan,15.27N,32.50E
1878-11-01,28.666,1.786,Umm Durman,Sudan,15.27N,32.50E
1878-12-01,23.98,1.889,Umm Durman,Sudan,15.27N,32.50E
1879-01-01,22.614,2.081,Umm Durman,Sudan,15.27N,32.50E
1879-02-01,24.346999999999998,2.1519999999999997,Umm Durman,Sudan,15.27N,32.50E
1879-03-01,27.151,1.8869999999999998,Umm Durman,Sudan,15.27N,32.50E
1879-04-01,30.859,1.735,Umm Durman,Sudan,15.27N,32.50E
1879-05-01,33.359,1.421,Umm Durman,Sudan,15.27N,32.50E
1879-06-01,33.278,1.3619999999999999,Umm Durman,Sudan,15.27N,32.50E
1879-07-01,31.033,1.771,Umm Durman,Sudan,15.27N,32.50E
1879-08-01,29.471,1.599,Umm Durman,Sudan,15.27N,32.50E
1879-09-01,30.632,1.482,Umm Durman,Sudan,15.27N,32.50E
1879-10-01,30.932,1.442,Umm Durman,Sudan,15.27N,32.50E
1879-11-01,27.418000000000006,1.659,Umm Durman,Sudan,15.27N,32.50E
1879-12-01,23.432,1.923,Umm Durman,Sudan,15.27N,32.50E
1880-01-01,21.932,2.076,Umm Durman,Sudan,15.27N,32.50E
1880-02-01,24.064,1.999,Umm Durman,Sudan,15.27N,32.50E
1880-03-01,27.298000000000002,1.867,Umm Durman,Sudan,15.27N,32.50E
1880-04-01,30.796,1.765,Umm Durman,Sudan,15.27N,32.50E
1880-05-01,33.944,1.324,Umm Durman,Sudan,15.27N,32.50E
1880-06-01,33.59,1.226,Umm Durman,Sudan,15.27N,32.50E
1880-07-01,31.278,1.59,Umm Durman,Sudan,15.27N,32.50E
1880-08-01,30.222,1.325,Umm Durman,Sudan,15.27N,32.50E
1880-09-01,31.749000000000002,1.5919999999999999,Umm Durman,Sudan,15.27N,32.50E
1880-10-01,31.164,1.2930000000000001,Umm Durman,Sudan,15.27N,32.50E
1880-11-01,27.754,1.854,Umm Durman,Sudan,15.27N,32.50E
1880-12-01,23.423000000000002,1.6540000000000001,Umm Durman,Sudan,15.27N,32.50E
1881-01-01,23.046,1.8259999999999998,Umm Durman,Sudan,15.27N,32.50E
1881-02-01,24.773000000000003,1.749,Umm Durman,Sudan,15.27N,32.50E
1881-03-01,27.807,1.964,Umm Durman,Sudan,15.27N,32.50E
1881-04-01,32.055,1.5230000000000001,Umm Durman,Sudan,15.27N,32.50E
1881-05-01,34.086,1.1320000000000001,Umm Durman,Sudan,15.27N,32.50E
1881-06-01,33.587,1.275,Umm Durman,Sudan,15.27N,32.50E
1881-07-01,31.311999999999998,1.381,Umm Durman,Sudan,15.27N,32.50E
1881-08-01,30.043000000000003,1.6480000000000001,Umm Durman,Sudan,15.27N,32.50E
1881-09-01,31.404,1.5219999999999998,Umm Durman,Sudan,15.27N,32.50E
1881-10-01,31.355999999999998,1.411,Umm Durman,Sudan,15.27N,32.50E
1881-11-01,27.866999999999997,1.319,Umm Durman,Sudan,15.27N,32.50E
1881-12-01,23.53,1.601,Umm Durman,Sudan,15.27N,32.50E
1882-01-01,23.27,1.7890000000000001,Umm Durman,Sudan,15.27N,32.50E
1882-02-01,24.623,1.8530000000000002,Umm Durman,Sudan,15.27N,32.50E
1882-03-01,27.351999999999997,1.784,Umm Durman,Sudan,15.27N,32.50E
1882-04-01,30.792,1.43,Umm Durman,Sudan,15.27N,32.50E
1882-05-01,33.41,1.163,Umm Durman,Sudan,15.27N,32.50E
1882-06-01,32.849000000000004,1.1059999999999999,Umm Durman,Sudan,15.27N,32.50E
1882-07-01,30.351999999999997,1.506,Umm Durman,Sudan,15.27N,32.50E
1882-08-01,30.055999999999997,1.3430000000000002,Umm Durman,Sudan,15.27N,32.50E
1882-09-01,31.554000000000002,1.42,Umm Durman,Sudan,15.27N,32.50E
1882-10-01,30.294,1.248,Umm Durman,Sudan,15.27N,32.50E
1882-11-01,26.705,1.327,Umm Durman,Sudan,15.27N,32.50E
1882-12-01,22.486,1.835,Umm Durman,Sudan,15.27N,32.50E
1883-01-01,22.28,1.7380000000000002,Umm Durman,Sudan,15.27N,32.50E
1883-02-01,23.413,2.003,Umm Durman,Sudan,15.27N,32.50E
1883-03-01,27.786,1.6469999999999998,Umm Durman,Sudan,15.27N,32.50E
