.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1970-09-01,6.571000000000001,0.313,Puerto Montt,Chile,40.99S,72.43W
1970-10-01,7.832000000000002,0.245,Puerto Montt,Chile,40.99S,72.43W
1970-11-01,10.414000000000001,0.168,Puerto Montt,Chile,40.99S,72.43W
1970-12-01,10.907,0.575,Puerto Montt,Chile,40.99S,72.43W
1971-01-01,11.345,0.7909999999999999,Puerto Montt,Chile,40.99S,72.43W
1971-02-01,11.768,0.294,Puerto Montt,Chile,40.99S,72.43W
1971-03-01,10.709000000000001,0.369,Puerto Montt,Chile,40.99S,72.43W
1971-04-01,6.819000000000001,0.41100000000000003,Puerto Montt,Chile,40.99S,72.43W
1971-05-01,6.053999999999999,0.292,Puerto Montt,Chile,40.99S,72.43W
1971-06-01,2.5780000000000003,0.32899999999999996,Puerto Montt,Chile,40.99S,72.43W
1971-07-01,5.089,0.21600000000000003,Puerto Montt,Chile,40.99S,72.43W
1971-08-01,4.609,0.265,Puerto Montt,Chile,40.99S,72.43W
1971-09-01,6.736000000000001,0.322,Puerto Montt,Chile,40.99S,72.43W
1971-10-01,8.646,0.344,Puerto Montt,Chile,40.99S,72.43W
1971-11-01,10.734000000000002,0.22899999999999998,Puerto Montt,Chile,40.99S,72.43W
1971-12-01,10.634,0.47200000000000003,Puerto Montt,Chile,40.99S,72.43W
1972-01-01,13.722999999999999,0.307,Puerto Montt,Chile,40.99S,72.43W
1972-02-01,13.083,0.184,Puerto Montt,Chile,40.99S,72.43W
1972-03-01,10.01,0.306,Puerto Montt,Chile,40.99S,72.43W
1972-04-01,8.805000000000003,0.5720000000000001,Puerto Montt,Chile,40.99S,72.43W
1972-05-01,6.5329999999999995,0.14300000000000002,Puerto Montt,Chile,40.99S,72.43W
1972-06-01,4.025,0.276,Puerto Montt,Chile,40.99S,72.43W
1972-07-01,3.506,0.34299999999999997,Puerto Montt,Chile,40.99S,72.43W
1972-08-01,4.5360000000000005,0.37,Puerto Montt,Chile,40.99S,72.43W
1972-09-01,5.5729999999999995,0.366,Puerto Montt,Chile,40.99S,72.43W
1972-10-01,6.91,0.473,Puerto Montt,Chile,40.99S,72.43W
1972-11-01,10.825,0.18899999999999997,Puerto Montt,Chile,40.99S,72.43W
1972-12-01,13.164000000000001,0.284,Puerto Montt,Chile,40.99S,72.43W
1973-01-01,12.699000000000002,0.508,Puerto Montt,Chile,40.99S,72.43W
1973-02-01,13.073,0.147,Puerto Montt,Chile,40.99S,72.43W
1973-03-01,11.874,0.436,Puerto Montt,Chile,40.99S,72.43W
1973-04-01,8.418000000000001,0.261,Puerto Montt,Chile,40.99S,72.43W
1973-05-01,6.343,0.366,Puerto Montt,Chile,40.99S,72.43W
1973-06-01,5.08,0.575,Puerto Montt,Chile,40.99S,72.43W
1973-07-01,2.5180000000000002,0.631,Puerto Montt,Chile,40.99S,72.43W
1973-08-01,4.58,0.21600000000000003,Puerto Montt,Chile,40.99S,72.43W
1973-09-01,5.525,0.342,Puerto Montt,Chile,40.99S,72.43W
1973-10-01,7.5329999999999995,0.348,Puerto Montt,Chile,40.99S,72.43W
1973-11-01,10.078,0.19,Puerto Montt,Chile,40.99S,72.43W
1973-12-01,11.978,0.313,Puerto Montt,Chile,40.99S,72.43W
1974-01-01,11.945,0.754,Puerto Montt,Chile,40.99S,72.43W
1974-02-01,12.708,0.259,Puerto Montt,Chile,40.99S,72.43W
1974-03-01,11.154000000000002,0.335,Puerto Montt,Chile,40.99S,72.43W
1974-04-01,8.351,0.447,Puerto Montt,Chile,40.99S,72.43W
1974-05-01,7.3389999999999995,0.42100000000000004,Puerto Montt,Chile,40.99S,72.43W
1974-06-01,3.884,0.244,Puerto Montt,Chile,40.99S,72.43W
1974-07-01,3.739,0.298,Puerto Montt,Chile,40.99S,72.43W
1974-08-01,4.2,0.317,Puerto Montt,Chile,40.99S,72.43W
1974-09-01,5.51,0.299,Puerto Montt,Chile,40.99S,72.43W
1974-10-01,8.082,0.309,Puerto Montt,Chile,40.99S,72.43W
1974-11-01,9.449,0.486,Puerto Montt,Chile,40.99S,72.43W
1974-12-01,12.031,0.341,Puerto Montt,Chile,40.99S,72.43W
1975-01-01,14.509,0.6890000000000001,Puerto Montt,Chile,40.99S,72.43W
1975-02-01,12.751,0.499,Puerto Montt,Chile,40.99S,72.43W
1975-03-01,11.383,0.301,Puerto Montt,Chile,40.99S,72.43W
1975-04-01,8.868,0.341,Puerto Montt,Chile,40.99S,72.43W
1975-05-01,6.505,0.255,Puerto Montt,Chile,40.99S,72.43W
1975-06-01,5.837999999999999,0.245,Puerto Montt,Chile,40.99S,72.43W
1975-07-01,3.417,0.603,Puerto Montt,Chile,40.99S,72.43W
1975-08-01,3.765000000000001,0.461,Puerto Montt,Chile,40.99S,72.43W
1975-09-01,6.234,0.287,Puerto Montt,Chile,40.99S,72.43W
1975-10-01,7.459,0.332,Puerto Montt,Chile,40.99S,72.43W
1975-11-01,9.164,0.21,Puerto Montt,Chile,40.99S,72.43W
1975-12-01,11.007,0.297,Puerto Montt,Chile,40.99S,72.43W
1976-01-01,12.269,0.469,Puerto Montt,Chile,40.99S,72.43W
1976-02-01,13.581,0.64,Puerto Montt,Chile,40.99S,72.43W
1976-03-01,9.497,0.418,Puerto Montt,Chile,40.99S,72.43W
1976-04-01,7.8900000000000015,0.547,Puerto Montt,Chile,40.99S,72.43W
1976-05-01,7.482,0.37200000000000005,Puerto Montt,Chile,40.99S,72.43W
1976-06-01,3.33,0.287,Puerto Montt,Chile,40.99S,72.43W
1976-07-01,3.127,0.439,Puerto Montt,Chile,40.99S,72.43W
1976-08-01,4.385000000000002,0.3,Puerto Montt,Chile,40.99S,72.43W
1976-09-01,6.446000000000001,0.225,Puerto Montt,Chile,40.99S,72.43W
1976-10-01,7.827999999999999,0.282,Puerto Montt,Chile,40.99S,72.43W
1976-11-01,10.511,0.16399999999999998,Puerto Montt,Chile,40.99S,72.43W
1976-12-01,12.235,0.5429999999999999,Puerto Montt,Chile,40.99S,72.43W
1977-01-01,13.704,0.469,Puerto Montt,Chile,40.99S,72.43W
1977-02-01,13.199000000000002,0.45,Puerto Montt,Chile,40.99S,72.43W
1977-03-01,11.706,0.361,Puerto Montt,Chile,40.99S,72.43W
1977-04-01,9.851,0.21,Puerto Montt,Chile,40.99S,72.43W
1977-05-01,7.046,0.35100000000000003,Puerto Montt,Chile,40.99S,72.43W
1977-06-01,5.011,0.433,Puerto Montt,Chile,40.99S,72.43W
