075000000000006,1.085,Pontianak,Indonesia,0.80S,110.09E
1903-08-01,26.534000000000002,0.537,Pontianak,Indonesia,0.80S,110.09E
1903-09-01,26.471,0.531,Pontianak,Indonesia,0.80S,110.09E
1903-10-01,25.787,0.5329999999999999,Pontianak,Indonesia,0.80S,110.09E
1903-11-01,25.485,0.76,Pontianak,Indonesia,0.80S,110.09E
1903-12-01,25.022,0.8290000000000001,Pontianak,Indonesia,0.80S,110.09E
1904-01-01,25.296,0.777,Pontianak,Indonesia,0.80S,110.09E
1904-02-01,25.507,0.6859999999999999,Pontianak,Indonesia,0.80S,110.09E
1904-03-01,25.479,0.48,Pontianak,Indonesia,0.80S,110.09E
1904-04-01,25.410999999999998,0.43,Pontianak,Indonesia,0.80S,110.09E
1904-05-01,26.049,0.37200000000000005,Pontianak,Indonesia,0.80S,110.09E
1904-06-01,25.971,0.491,Pontianak,Indonesia,0.80S,110.09E
1904-07-01,26.535999999999998,0.371,Pontianak,Indonesia,0.80S,110.09E
1904-08-01,26.119,0.45899999999999996,Pontianak,Indonesia,0.80S,110.09E
1904-09-01,26.155,0.493,Pontianak,Indonesia,0.80S,110.09E
1904-10-01,25.62,0.47,Pontianak,Indonesia,0.80S,110.09E
1904-11-01,25.621,0.517,Pontianak,Indonesia,0.80S,110.09E
1904-12-01,25.362,0.485,Pontianak,Indonesia,0.80S,110.09E
1905-01-01,26.081,0.807,Pontianak,Indonesia,0.80S,110.09E
1905-02-01,26.043000000000003,0.483,Pontianak,Indonesia,0.80S,110.09E
1905-03-01,26.863000000000003,0.84,Pontianak,Indonesia,0.80S,110.09E
1905-04-01,26.631,0.43,Pontianak,Indonesia,0.80S,110.09E
1905-05-01,26.624,0.47700000000000004,Pontianak,Indonesia,0.80S,110.09E
1905-06-01,27.487,0.716,Pontianak,Indonesia,0.80S,110.09E
1905-07-01,26.669,0.68,Pontianak,Indonesia,0.80S,110.09E
1905-08-01,26.746,0.852,Pontianak,Indonesia,0.80S,110.09E
1905-09-01,26.508000000000006,0.779,Pontianak,Indonesia,0.80S,110.09E
1905-10-01,26.394,0.8420000000000001,Pontianak,Indonesia,0.80S,110.09E
1905-11-01,26.107,0.887,Pontianak,Indonesia,0.80S,110.09E
1905-12-01,25.933000000000003,0.7709999999999999,Pontianak,Indonesia,0.80S,110.09E
1906-01-01,26.461,0.515,Pontianak,Indonesia,0.80S,110.09E
1906-02-01,26.927,0.6579999999999999,Pontianak,Indonesia,0.80S,110.09E
1906-03-01,26.544,0.63,Pontianak,Indonesia,0.80S,110.09E
1906-04-01,26.178,0.698,Pontianak,Indonesia,0.80S,110.09E
1906-05-01,26.708,0.722,Pontianak,Indonesia,0.80S,110.09E
1906-06-01,26.208000000000002,0.361,Pontianak,Indonesia,0.80S,110.09E
1906-07-01,26.389000000000006,0.5920000000000001,Pontianak,Indonesia,0.80S,110.09E
1906-08-01,26.34,0.375,Pontianak,Indonesia,0.80S,110.09E
1906-09-01,26.641,0.797,Pontianak,Indonesia,0.80S,110.09E
1906-10-01,26.092,0.512,Pontianak,Indonesia,0.80S,110.09E
1906-11-01,26.136,0.39299999999999996,Pontianak,Indonesia,0.80S,110.09E
1906-12-01,25.476,0.6679999999999999,Pontianak,Indonesia,0.80S,110.09E
1907-01-01,25.997,0.7070000000000001,Pontianak,Indonesia,0.80S,110.09E
1907-02-01,25.764,0.733,Pontianak,Indonesia,0.80S,110.09E
1907-03-01,25.753,0.434,Pontianak,Indonesia,0.80S,110.09E
1907-04-01,26.136999999999997,0.609,Pontianak,Indonesia,0.80S,110.09E
1907-05-01,26.533,0.44799999999999995,Pontianak,Indonesia,0.80S,110.09E
1907-06-01,26.377,0.326,Pontianak,Indonesia,0.80S,110.09E
1907-07-01,26.31,0.379,Pontianak,Indonesia,0.80S,110.09E
1907-08-01,26.122,0.444,Pontianak,Indonesia,0.80S,110.09E
1907-09-01,26.198,0.42,Pontianak,Indonesia,0.80S,110.09E
1907-10-01,26.058000000000003,0.53,Pontianak,Indonesia,0.80S,110.09E
1907-11-01,25.953000000000003,0.433,Pontianak,Indonesia,0.80S,110.09E
1907-12-01,25.664,0.45299999999999996,Pontianak,Indonesia,0.80S,110.09E
1908-01-01,26.28,0.564,Pontianak,Indonesia,0.80S,110.09E
1908-02-01,26.549,0.601,Pontianak,Indonesia,0.80S,110.09E
1908-03-01,26.356,0.522,Pontianak,Indonesia,0.80S,110.09E
1908-04-01,26.444000000000003,0.34,Pontianak,Indonesia,0.80S,110.09E
1908-05-01,26.820999999999998,0.445,Pontianak,Indonesia,0.80S,110.09E
1908-06-01,26.369,0.503,Pontianak,Indonesia,0.80S,110.09E
1908-07-01,25.712,0.705,Pontianak,Indonesia,0.80S,110.09E
1908-08-01,26.569000000000003,0.5770000000000001,Pontianak,Indonesia,0.80S,110.09E
1908-09-01,26.182,0.297,Pontianak,Indonesia,0.80S,110.09E
1908-10-01,25.843000000000004,0.382,Pontianak,Indonesia,0.80S,110.09E
1908-11-01,25.351999999999997,0.47,Pontianak,Indonesia,0.80S,110.09E
1908-12-01,25.395,0.718,Pontianak,Indonesia,0.80S,110.09E
