942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1876-09-01,12.859000000000002,0.711,Tilburg,Netherlands,52.24N,5.26E
1876-10-01,11.264000000000001,0.619,Tilburg,Netherlands,52.24N,5.26E
1876-11-01,4.458,1.061,Tilburg,Netherlands,52.24N,5.26E
1876-12-01,4.234,1.416,Tilburg,Netherlands,52.24N,5.26E
1877-01-01,4.1339999999999995,1.531,Tilburg,Netherlands,52.24N,5.26E
1877-02-01,4.6339999999999995,1.38,Tilburg,Netherlands,52.24N,5.26E
1877-03-01,3.483,0.36,Tilburg,Netherlands,52.24N,5.26E
1877-04-01,6.776,1.162,Tilburg,Netherlands,52.24N,5.26E
1877-05-01,9.908,0.609,Tilburg,Netherlands,52.24N,5.26E
1877-06-01,17.282999999999998,1.6669999999999998,Tilburg,Netherlands,52.24N,5.26E
1877-07-01,16.485,0.649,Tilburg,Netherlands,52.24N,5.26E
1877-08-01,16.740000000000002,0.465,Tilburg,Netherlands,52.24N,5.26E
1877-09-01,11.505,0.24600000000000002,Tilburg,Netherlands,52.24N,5.26E
1877-10-01,8.719,0.643,Tilburg,Netherlands,52.24N,5.26E
1877-11-01,7.218,0.897,Tilburg,Netherlands,52.24N,5.26E
1877-12-01,2.468,2.065,Tilburg,Netherlands,52.24N,5.26E
1878-01-01,2.079,1.304,Tilburg,Netherlands,52.24N,5.26E
1878-02-01,4.301,0.8909999999999999,Tilburg,Netherlands,52.24N,5.26E
1878-03-01,4.58,0.685,Tilburg,Netherlands,52.24N,5.26E
1878-04-01,9.493,0.716,Tilburg,Netherlands,52.24N,5.26E
1878-05-01,12.886,0.535,Tilburg,Netherlands,52.24N,5.26E
1878-06-01,15.784999999999998,0.988,Tilburg,Netherlands,52.24N,5.26E
1878-07-01,16.404,0.46399999999999997,Tilburg,Netherlands,52.24N,5.26E
1878-08-01,17.094,0.527,Tilburg,Netherlands,52.24N,5.26E
1878-09-01,14.339,0.49,Tilburg,Netherlands,52.24N,5.26E
1878-10-01,10.076,0.544,Tilburg,Netherlands,52.24N,5.26E
1878-11-01,4.156000000000001,0.89,Tilburg,Netherlands,52.24N,5.26E
1878-12-01,0.1719999999999997,1.204,Tilburg,Netherlands,52.24N,5.26E
1879-01-01,-1.767,0.7190000000000001,Tilburg,Netherlands,52.24N,5.26E
1879-02-01,1.2769999999999997,0.795,Tilburg,Netherlands,52.24N,5.26E
1879-03-01,3.63,0.584,Tilburg,Netherlands,52.24N,5.26E
1879-04-01,6.221,0.953,Tilburg,Netherlands,52.24N,5.26E
1879-05-01,9.707,0.972,Tilburg,Netherlands,52.24N,5.26E
1879-06-01,15.171,0.725,Tilburg,Netherlands,52.24N,5.26E
1879-07-01,14.796,0.841,Tilburg,Netherlands,52.24N,5.26E
1879-08-01,16.632,0.821,Tilburg,Netherlands,52.24N,5.26E
1879-09-01,13.877,0.49200000000000005,Tilburg,Netherlands,52.24N,5.26E
1879-10-01,9.06,0.693,Tilburg,Netherlands,52.24N,5.26E
1879-11-01,3.047,0.677,Tilburg,Netherlands,52.24N,5.26E
1879-12-01,-3.374,0.7709999999999999,Tilburg,Netherlands,52.24N,5.26E
1880-01-01,-0.7610000000000001,0.868,Tilburg,Netherlands,52.24N,5.26E
1880-02-01,3.653,0.418,Tilburg,Netherlands,52.24N,5.26E
1880-03-01,5.836,0.654,Tilburg,Netherlands,52.24N,5.26E
1880-04-01,8.766,0.573,Tilburg,Netherlands,52.24N,5.26E
1880-05-01,11.52,0.5660000000000001,Tilburg,Netherlands,52.24N,5.26E
1880-06-01,14.574000000000002,0.457,Tilburg,Netherlands,52.24N,5.26E
1880-07-01,17.003999999999998,0.48200000000000004,Tilburg,Netherlands,52.24N,5.26E
1880-08-01,17.854000000000006,0.7879999999999999,Tilburg,Netherlands,52.24N,5.26E
1880-09-01,15.315,0.779,Tilburg,Netherlands,52.24N,5.26E
1880-10-01,8.137,0.43799999999999994,Tilburg,Netherlands,52.24N,5.26E
1880-11-01,4.8260000000000005,1.6230000000000002,Tilburg,Netherlands,52.24N,5.26E
1880-12-01,4.708,0.67,Tilburg,Netherlands,52.24N,5.26E
1881-01-01,-3.0810000000000004,0.579,Tilburg,Netherlands,52.24N,5.26E
1881-02-01,1.6309999999999998,0.81,Tilburg,Netherlands,52.24N,5.26E
1881-03-01,4.26,0.637,Tilburg,Netherlands,52.24N,5.26E
1881-04-01,6.4910000000000005,0.45399999999999996,Tilburg,Netherlands,52.24N,5.26E
1881-05-01,12.079,0.536,Tilburg,Netherlands,52.24N,5.26E
1881-06-01,14.649000000000001,0.767,Tilburg,Netherlands,52.24N,5.26E
1881-07-01,18.394000000000002,0.426,Tilburg,Netherlands,52.24N,5.26E
1881-08-01,15.356000000000002,0.361,Tilburg,Netherlands,52.24N,5.26E
1881-09-01,13.072000000000001,0.43799999999999994,Tilburg,Netherlands,52.24N,5.26E
1881-10-01,6.312999999999999,0.397,Tilburg,Netherlands,52.24N,5.26E
1881-11-01,7.6160000000000005,0.677,Tilburg,Netherlands,52.24N,5.26E
1881-12-01,2.405,0.836,Tilburg,Netherlands,52.24N,5.26E
1882-01-01,2.2030000000000003,0.7709999999999999,Tilburg,Netherlands,52.24N,5.26E
1882-02-01,3.797,0.54,Tilburg,Netherlands,52.24N,5.26E
1882-03-01,7.271000000000001,0.534,Tilburg,Netherlands,52.24N,5.26E
1882-04-01,8.407,0.308,Tilburg,Netherlands,52.24N,5.26E
1882-05-01,12.341,0.504,Tilburg,Netherlands,52.24N,5.26E
1882-06-01,14.101,0.5329999999999999,Tilburg,Netherlands,52.24N,5.26E
1882-07-01,16.282,0.384,Tilburg,Netherlands,52.24N,5.26E
